Severity,Check,TenderKey,Authority,Detail,Value
HIGH,POSSIBLE_DUPLICATE,7116dca98c98,SECI,same reference number on two records,SECI/CP/NIT/2020/VOCPT5
HIGH,POSSIBLE_DUPLICATE,3306e54faad5,SECI,same reference number on two records,SECI/CP/NIT/AVEQUIP/082020
HIGH,POSSIBLE_DUPLICATE,eecb36ab7aa0,SECI,same reference number on two records,SECI/CP/RFS/PMDP/LK/2020
LOW,WINNER_NOT_FOUND,T-998e9b3ae144,SECI,material tender closed with no winner found yet,1070.0
HIGH,POSSIBLE_DUPLICATE,998e9b3ae144,SECI,same reference number on two records,SECI/CP/SPD/RFS/RJ-III/072020
LOW,WINNER_NOT_FOUND,998e9b3ae144,SECI,material tender closed with no winner found yet,1070.0
HIGH,POSSIBLE_DUPLICATE,53d5475a9954,SECI,same reference number on two records,SECI/CP/NIT/ITFMS/092020
HIGH,POSSIBLE_DUPLICATE,c83fc5dffc01,SECI,same reference number on two records,SECI/SD/EOI/20-21
LOW,WINNER_NOT_FOUND,T-a034c4a2aee2,NTPC,material tender closed with no winner found yet,600.0
LOW,WINNER_NOT_FOUND,T-566fd0283239,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,566fd0283239,SECI,same reference number on two records,SECI/CP/HPD/T3/1200MW/RFS/012020
LOW,WINNER_NOT_FOUND,566fd0283239,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,7a955b8b64ee,SECI,same reference number on two records,SECI/CP/SOFT/2020
LOW,WINNER_NOT_FOUND,T-54d2a3f18a68,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,54d2a3f18a68,SECI,same reference number on two records,SECI/CP/RFB/2020/CG/100/150
LOW,WINNER_NOT_FOUND,54d2a3f18a68,SECI,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-4e06bed6f1f7,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-ac9dcd99b0a5,NTPC,material tender closed with no winner found yet,190.0
MEDIUM,CAPACITY_IMPLAUSIBLE,T-069167338a56,SECI,"capacity above 5 GW, check the parsed unit",7500.0
LOW,WINNER_NOT_FOUND,T-069167338a56,SECI,material tender closed with no winner found yet,7500.0
HIGH,POSSIBLE_DUPLICATE,069167338a56,SECI,same reference number on two records,SECI/CP/SPD/RFS/LEH-KARGIL/7500MW/122018
MEDIUM,CAPACITY_IMPLAUSIBLE,069167338a56,SECI,"capacity above 5 GW, check the parsed unit",7500.0
LOW,WINNER_NOT_FOUND,069167338a56,SECI,material tender closed with no winner found yet,7500.0
LOW,WINNER_NOT_FOUND,T-378fc4a48839,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,378fc4a48839,SECI,same reference number on two records,SECI/CP/WPD/1200MW/T10/RFS/122020
LOW,WINNER_NOT_FOUND,378fc4a48839,SECI,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-e5c0035292e8,SECI,material tender closed with no winner found yet,2500.0
HIGH,POSSIBLE_DUPLICATE,e5c0035292e8,SECI,same reference number on two records,SECI/CP/SPD/ISTS-X/KOPPAL-SP/RFS/2500MW/042020
LOW,WINNER_NOT_FOUND,e5c0035292e8,SECI,material tender closed with no winner found yet,2500.0
HIGH,POSSIBLE_DUPLICATE,05e822c2a54c,SECI,same reference number on two records,SECI/CP/TD/2020/LEH/20S/20B
HIGH,POSSIBLE_DUPLICATE,d43cca53b1ce,SECI,same reference number on two records,SECI/CP/NIT/HOUSEKEEPING/032021
HIGH,POSSIBLE_DUPLICATE,5d09f30aa031,SECI,same reference number on two records,SECI/CP/TD/2020/BCCL/25S
LOW,WINNER_NOT_FOUND,T-17b0ccd6222a,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-db09cae1338d,NTPC,material tender closed with no winner found yet,600.0
LOW,WINNER_NOT_FOUND,T-2bca1dd2f0ad,SECI,material tender closed with no winner found yet,1785.0
HIGH,POSSIBLE_DUPLICATE,2bca1dd2f0ad,SECI,same reference number on two records,SECI/CP/SPD/RFS/RJ-IV/032021
LOW,WINNER_NOT_FOUND,2bca1dd2f0ad,SECI,material tender closed with no winner found yet,1785.0
LOW,WINNER_NOT_FOUND,T-88409b177112,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,88409b177112,SECI,same reference number on two records,SECI/CP/WPD/1200MW/T11/RFS/052021
LOW,WINNER_NOT_FOUND,88409b177112,SECI,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-530c4bbf4a68,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,530c4bbf4a68,SECI,same reference number on two records,SECI/CP/HPD/T4/1200MW/RFS/042021
LOW,WINNER_NOT_FOUND,530c4bbf4a68,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,2873dd792e0f,SECI,same reference number on two records,SECI/CP/SOFT/STAAD/2021
HIGH,POSSIBLE_DUPLICATE,08c5663f364d,SECI,same reference number on two records,SECI/CP/BMS/2021
LOW,WINNER_NOT_FOUND,T-88faead54357,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,88faead54357,SECI,same reference number on two records,SECI/CP/RFP/2020/CG/100/120/OE
LOW,WINNER_NOT_FOUND,88faead54357,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,a04fb656c820,SECI,same reference number on two records,SECI/CP/OM/AN/2021/01
HIGH,POSSIBLE_DUPLICATE,f7eeb7eb3f61,SECI,same reference number on two records,SECI/CP/CSR/2021/01
LOW,WINNER_NOT_FOUND,T-5a5e72e722e6,SECI,material tender closed with no winner found yet,5000.0
HIGH,POSSIBLE_DUPLICATE,5a5e72e722e6,SECI,same reference number on two records,SECI/CP/RPD/RTC-II/RFS/5000MW/032020
LOW,WINNER_NOT_FOUND,5a5e72e722e6,SECI,material tender closed with no winner found yet,5000.0
HIGH,POSSIBLE_DUPLICATE,0164f3d25bc7,SECI,same reference number on two records,SECI/CP/MI/00/0002/2021-22
LOW,WINNER_NOT_FOUND,T-8fbdff66adb7,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-b004a658bfd0,NTPC,material tender closed with no winner found yet,500.0
LOW,WINNER_NOT_FOUND,T-1ede13fbecf6,NTPC,material tender closed with no winner found yet,735.0
LOW,WINNER_NOT_FOUND,T-3f8659e53df5,NTPC,material tender closed with no winner found yet,200.0
LOW,WINNER_NOT_FOUND,T-65be4f1d570f,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,65be4f1d570f,SECI,same reference number on two records,SECI/CP/SPD/ISTS-X/RFS/1200MW/072021
LOW,WINNER_NOT_FOUND,65be4f1d570f,SECI,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-a99eb73812e0,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,a99eb73812e0,SECI,same reference number on two records,SECI/CP/IPP/12/0002/21-22
LOW,WINNER_NOT_FOUND,a99eb73812e0,SECI,material tender closed with no winner found yet,1200.0
LOW,WINNER_NOT_FOUND,T-46472d767a7b,NTPC,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,f0b47448cb25,SECI,same reference number on two records,SECI/CP/IPP/11/0001/21-22
LOW,WINNER_NOT_FOUND,T-46432bfe2d46,NTPC,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,7409417e8e5c,SECI,same reference number on two records,SECI/CP/EOI/11/0001/2021-22
LOW,WINNER_NOT_FOUND,T-2c18fa909bfe,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,2c18fa909bfe,SECI,same reference number on two records,SECI/CP/TD/2021/CG/100
LOW,WINNER_NOT_FOUND,2c18fa909bfe,SECI,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-34925f7c8086,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,34925f7c8086,SECI,same reference number on two records,SECI/CP/IPP/13/0003/21-22
LOW,WINNER_NOT_FOUND,34925f7c8086,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,5d3d1d5729bb,SECI,same reference number on two records,SECI/CP/SPD/RFS/15MW/BBMB/072020
